ID;Planta;Año;Mes;Empleados Propios;Empleados Ajenos;Empleados ETTS;Empleados Subcontrata;Horas Presencia Efectiva Propios;Horas Presencia Efectiva Subcontratados;Horas Presencia Efectiva ETTs;Horas Formacion Seguridad Propios;Horas Formacion Seguridad ETTs;Horas Formacion General Propios;Empleados Propios - indefinido;Empleados Propios - duración determinada
1;Argentina;2017;ENE;49;0;;;559.700.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;9.600.000.000.000.000;;
2;Arizona;2017;ENE;30;0;;;224.100.000.000.000.000;0.00000000000000;0.00000000000000;700.000.000.000.000;0.00000000000000;700.000.000.000.000;;
3;Barcelona;2017;ENE;143;46;;;1.945.600.000.000.000.000;923.600.000.000.000.000;74.400.000.000.000.000;1.100.000.000.000.000;0.00000000000000;24.650.000.000.000.000;;
4;Barcelona;2017;ENE;182;39;;;2.836.300.000.000.000.000;304.400.000.000.000.000;227.700.000.000.000.000;0.00000000000000;1.400.000.000.000.000;59.100.000.000.000.000;;
5;Laser Brandenburg;2017;ENE;18;14;;;288.800.000.000.000.000;0.00000000000000;234.000.000.000.000.000;200.000.000.000.000;0.00000000000000;170.000.000.000.000;;
6;Burgos;2017;ENE;247;9;;;3.324.800.000.000.000.000;0.00000000000000;0.00000000000000;4.200.000.000.000.000;0.00000000000000;42.640.000.000.000.000;;
7;Campinas;2017;ENE;94;11;;;1.317.800.000.000.000.000;43.400.000.000.000.000;115.600.000.000.000.000;1.300.000.000.000.000;0.00000000000000;7.900.000.000.000.000;;
8;Çepas;2017;ENE;216;45;;;4.806.900.000.000.000.000;0.00000000000000;0.00000000000000;0.00000000000000;0.00000000000000;43.800.000.000.000.000;;
9;Colombia;2017;ENE;299;138;;;6.405.700.000.000.000.000;0.00000000000000;3.571.900.000.000.000.000;3.400.000.000.000.000;3.500.000.000.000.000;46.500.000.000.000.000;;
10;Czech;2017;ENE;52;5;;;705.700.000.000.000.000;0.00000000000000;86.700.000.000.000.000;600.000.000.000.000;0.00000000000000;5.000.000.000.000.000;;
11;Valencia;2017;ENE;144;13;;;2.181.200.000.000.000.000;0.00000000000000;205.900.000.000.000.000;800.000.000.000.000;0.00000000000000;17.750.000.000.000.000;;
