ID;Fabrica;Activo;Tecnología;Pais
1;Argentina;1;Blanking;Argentina
2;Argentina;1;Corte Longitudinal;Argentina
3;Argentina;1;Corte Transversal;Argentina
4;Arizona;1;Células Soldadura;EEUU
5;Arizona;1;Corte Láser;EEUU
6;Arizona;1;Tubos;EEUU
7;Barcelona;1;Cizalla;España
8;Barcelona;1;Corte Longitudinal;España
9;Barcelona;1;Corte Transversal;España
10;Barcelona;1;Electrozincado;España
11;Barcelona;1;Galvanizado continuo;España
12;Barcelona;1;Skinpass;España
13;Burgos;1;Blanking;España
14;Burgos;1;Cizalla;España
15;Burgos;1;Corte Longitudinal;España
16;Burgos;1;Corte Transversal;España
17;Burgos;1;Decapado;España
18;Burgos;1;Laminado;España
19;Burgos;1;Recocido;España
20;Burgos;1;Skinpass;España
21;Campinas;1;Cizalla;Brasil
22;Campinas;1;Corte Longitudinal;Brasil
23;Campinas;1;Corte Transversal;Brasil
24;Campinas;1;Decapado;Brasil
25;Campinas;1;Prensa;Brasil
26;Campinas;1;Skinpass;Brasil
27;Czech;1;Corte Láser 3D;Rep.Checa
28;Galicia;1;Blanking;España
29;Galicia;1;Corte Longitudinal;España
30;Galicia;1;Corte Transversal;España
31;Asturias;1;Corte Láser;España
32;Asturias;1;Sierra;España
33;Asturias;1;Tubos;España
38;Asturias;1;Aplanadora;España
39;Asturias;1;Células Soldadura;España
36;Dongguan;1;Blanking;China
37;Dongguan;1;Maquinaria Auxiliar;China
40;Asturias;1;Cizalla;España
41;Asturias;1;Corte Láser;España
42;Asturias;1;Corte Longitudinal;España
43;Asturias;1;Corte Plasma;España
44;Asturias;1;Corte Transversal;España
45;Asturias;1;Decapado;España
46;Asturias;1;Galvanizado Inmersión;España
47;Asturias;1;Laminado;España
48;Asturias;1;Maquinaria Auxiliar;España
49;Asturias;1;Perfilado de barrera y postes;España
50;Asturias;1;Perfiles abiertos;España
51;Asturias;1;Perforado;España
52;Asturias;1;Pintura;España
53;Asturias;1;Prensa;España
54;Asturias;1;Punzonado;España
55;Asturias;1;Sierra;España
56;Asturias;1;Tubos;España
111;Asturias;1;Almacén de Materia Prima;España
112;Asturias;1;Almacén de Materia Prima;España
57;Kaluga;1;Blanking;Russia
58;Kaluga;1;Corte Longitudinal;Russia
59;Kaluga;1;Corte Transversal;Russia
150;Asturias;1;Almacén de Producto Terminado;España
61;Loudi;1;Ablación;China
62;Loudi;1;Blanking;China
63;Loudi;1;Cizalla;China
64;Loudi;1;Corte Láser;China
65;Loudi;1;Tailor Welding;China
66;Navarra;1;Blanking;España
67;Navarra;1;Corte Longitudinal;España
68;Navarra;1;Corte Transversal;España
69;Paraná;1;Cizalla;Argentina
70;Paraná;1;Corte Transversal;Argentina
71;Paraná;1;Prensa;Argentina
72;Polska;1;Blanking;Polonia
73;Polska;1;Cizalla;Polonia
74;Polska;1;Corte Longitudinal;Polonia
75;Polska;1;Corte Transversal;Polonia
76;Portugal;1;Corte Longitudinal;Portugal
77;Portugal;1;Corte Transversal;Portugal
78;Puebla;1;Blanking;México
79;Puebla;1;Cizalla;México
80;Puebla;1;Corte Longitudinal;México
81;South Carolina;1;Blanking;EEUU
82;Tarragona;1;Cizalla;España
83;Tarragona;1;Corte Longitudinal;España
84;Tarragona;1;Corte Transversal;España
85;Tarragona;1;Decapado;España
86;Thüringen;1;Blanking;Alemania
87;Thüringen;1;Corte Láser 3D;Alemania
88;Thüringen;1;Corte Longitudinal;Alemania
89;Valencia;1;Cizalla;España
90;Valencia;1;Corte Longitudinal;España
91;Valencia;1;Corte Plasma;España
92;Valencia;1;Corte Transversal;España
93;Valencia;0;Decapado;España
94;Valencia;1;Limpieza/Prepintado;España
95;Valencia;1;Maquinaria Auxiliar;España
96;Valencia;0;Plastificado;España
97;Valencia;1;Prensa;España
98;Valencia;1;Skinpass;España
99;Valencia;1;Oficinas administrativas;España
100;Barcelona;1;Almacén de Materia Prima;España
101;Burgos;1;Almacén de Materia Prima;España
102;Tarragona;1;Almacén de Materia Prima;España
103;Valencia;1;Almacén de Materia Prima;España
104;Portugal;1;Almacén de Materia Prima;Portugal
105;Union Street;1;Almacén de Materia Prima;UK
151;Asturias;1;Almacén de Producto Terminado;España
34;Barcelona;1;Blanking;España
35;Barcelona;1;Corte Transversal;España
109;Navarra;1;Almacén de Materia Prima;España
110;Galicia;1;Almacén de Materia Prima;España
108;Barcelona;1;Almacén de Materia Prima;España
190;Gonvauto Asturias;1;Almacén producto semielaborado o en producción;España
113;Baja California;1;Almacén de Materia Prima;EEUU
114;Çepas;1;Almacén de Materia Prima;Turquía
115;Colombia;1;Almacén de Materia Prima;Colombia
116;Thüringen;1;Almacén de Materia Prima;Alemania
117;Polska;1;Almacén de Materia Prima;Polonia
118;Senica;1;Almacén de Materia Prima;Eslovaquia
119;Kaluga;1;Almacén de Materia Prima;Russia
120;Czech;1;Almacén de Materia Prima;Rep.Checa
229;Gonvauto Asturias;1;Área de embalado;España
122;Puebla;1;Almacén de Materia Prima;México
123;South Carolina;1;Almacén de Materia Prima;EEUU
124;Argentina;1;Almacén de Materia Prima;Argentina
125;Paraná;1;Almacén de Materia Prima;Argentina
126;Campinas;1;Almacén de Materia Prima;Brasil
127;Dongguan;1;Almacén de Materia Prima;China
268;Gonvauto Asturias;1;Instalaciones exteriores y auxiliares;España
129;Changshu;1;Almacén de Materia Prima;China
130;Shenyang;1;Almacén de Materia Prima;China
131;Chongqing;1;Almacén de Materia Prima;China
132;Loudi;1;Almacén de Materia Prima;China
133;GCF;1;Almacén de Materia Prima;Rep.Checa
134;Bridge Street;1;Almacén de Materia Prima;UK
135;Newton Aycliffe;1;Almacén de Materia Prima;UK
136;Popes Lane;1;Almacén de Materia Prima;UK
137;Darlaston;1;Almacén de Materia Prima;UK
138;Cannock;1;Almacén de Materia Prima;Holanda
139;Barcelona;1;Almacén de Producto Terminado;España
140;Burgos;1;Almacén de Producto Terminado;España
141;Tarragona;1;Almacén de Producto Terminado;España
142;Valencia;1;Almacén de Producto Terminado;España
143;Portugal;1;Almacén de Producto Terminado;Portugal
144;Union Street;1;Almacén de Producto Terminado;UK
307;Gonvauto Asturias;1;Mantenimiento;España
346;Gonvauto Asturias;1;Maquinaria Auxiliar;España
385;Gonvauto Asturias;1;Oficinas administrativas;España
148;Navarra;1;Almacén de Producto Terminado;España
149;Galicia;1;Almacén de Producto Terminado;España
424;Gonvauto Asturias;1;Puente Grúa;España
464;Gonvauto Asturias;1;Carpinteria;España
152;Baja California;1;Almacén de Producto Terminado;EEUU
153;Çepas;1;Almacén de Producto Terminado;Turquía
154;Colombia;1;Almacén de Producto Terminado;Colombia
155;Thüringen;1;Almacén de Producto Terminado;Alemania
156;Polska;1;Almacén de Producto Terminado;Polonia
157;Senica;1;Almacén de Producto Terminado;Eslovaquia
158;Kaluga;1;Almacén de Producto Terminado;Russia
159;Czech;1;Almacén de Producto Terminado;Rep.Checa
503;Gonvauto Asturias;1;Almacen de recambios;España
