ID;Fabrica;Activo;Tecnología;Pais;lat;lon
1;Argentina;1;Blanking;Argentina;-38.416.097;-63.616.672
2;Argentina;1;Corte Longitudinal;Argentina;-38.416.097;-63.616.672
3;Argentina;1;Corte Transversal;Argentina;-38.416.097;-63.616.672
4;Arizona;1;Células Soldadura;EEUU;37.09;-95.71
5;Arizona;1;Corte Láser;EEUU;37.09;-95.71
6;Arizona;1;Tubos;EEUU;37.09;-95.71
7;Barcelona;1;Cizalla;España;40.46;-3.74
8;Barcelona;1;Corte Longitudinal;España;40.46;-3.74
9;Barcelona;1;Corte Transversal;España;40.46;-3.74
10;Barcelona;1;Electrozincado;España;40.46;-3.74
11;Barcelona;1;Galvanizado continuo;España;40.46;-3.74
12;Barcelona;1;Skinpass;España;40.46;-3.74
13;Burgos;1;Blanking;España;40.46;-3.74
14;Burgos;1;Cizalla;España;40.46;-3.74
15;Burgos;1;Corte Longitudinal;España;40.46;-3.74
16;Burgos;1;Corte Transversal;España;40.46;-3.74
17;Burgos;1;Decapado;España;40.46;-3.74
18;Burgos;1;Laminado;España;40.46;-3.74
19;Burgos;1;Recocido;España;40.46;-3.74
20;Burgos;1;Skinpass;España;40.46;-3.74
21;Campinas;1;Cizalla;Brasil;-14.23;-51.92
22;Campinas;1;Corte Longitudinal;Brasil;-14.23;-51.92
23;Campinas;1;Corte Transversal;Brasil;-14.23;-51.92
24;Campinas;1;Decapado;Brasil;-14.23;-51.92
25;Campinas;1;Prensa;Brasil;-14.23;-51.92
26;Campinas;1;Skinpass;Brasil;-14.23;-51.92
27;Czech;1;Corte Láser 3D;Rep.Checa;49.81;15.47
28;Galicia;1;Blanking;España;40.46;-3.74
29;Galicia;1;Corte Longitudinal;España;40.46;-3.74
30;Galicia;1;Corte Transversal;España;40.46;-3.74
31;Asturias;1;Corte Láser;España;40.46;-3.74
32;Asturias;1;Sierra;España;40.46;-3.74
33;Asturias;1;Tubos;España;40.46;-3.74
38;Asturias;1;Aplanadora;España;40.46;-3.74
39;Asturias;1;Células Soldadura;España;40.46;-3.74
36;Dongguan;1;Blanking;China;35.86;104.19
37;Dongguan;1;Maquinaria Auxiliar;China;35.86;104.19
40;Asturias;1;Cizalla;España;40.46;-3.74
41;Asturias;1;Corte Láser;España;40.46;-3.74
42;Asturias;1;Corte Longitudinal;España;40.46;-3.74
43;Asturias;1;Corte Plasma;España;40.46;-3.74
44;Asturias;1;Corte Transversal;España;40.46;-3.74
45;Asturias;1;Decapado;España;40.46;-3.74
46;Asturias;1;Galvanizado Inmersión;España;40.46;-3.74
47;Asturias;1;Laminado;España;40.46;-3.74
48;Asturias;1;Maquinaria Auxiliar;España;40.46;-3.74
49;Asturias;1;Perfilado de barrera y postes;España;40.46;-3.74
50;Asturias;1;Perfiles abiertos;España;40.46;-3.74
51;Asturias;1;Perforado;España;40.46;-3.74
52;Asturias;1;Pintura;España;40.46;-3.74
53;Asturias;1;Prensa;España;40.46;-3.74
54;Asturias;1;Punzonado;España;40.46;-3.74
55;Asturias;1;Sierra;España;40.46;-3.74
56;Asturias;1;Tubos;España;40.46;-3.74
111;Asturias;1;Almacén de Materia Prima;España;40.46;-3.74
112;Asturias;1;Almacén de Materia Prima;España;40.46;-3.74
57;Kaluga;1;Blanking;Russia;61.52;105.31
58;Kaluga;1;Corte Longitudinal;Russia;61.52;105.31
59;Kaluga;1;Corte Transversal;Russia;61.52;105.31
150;Asturias;1;Almacén de Producto Terminado;España;40.46;-3.74
61;Loudi;1;Ablación;China;35.86;104.19
62;Loudi;1;Blanking;China;35.86;104.19
63;Loudi;1;Cizalla;China;35.86;104.19
64;Loudi;1;Corte Láser;China;35.86;104.19
65;Loudi;1;Tailor Welding;China;35.86;104.19
66;Navarra;1;Blanking;España;40.46;-3.74
67;Navarra;1;Corte Longitudinal;España;40.46;-3.74
68;Navarra;1;Corte Transversal;España;40.46;-3.74
69;Paraná;1;Cizalla;Argentina;-38.416.097;-63.616.672
70;Paraná;1;Corte Transversal;Argentina;-38.416.097;-63.616.672
71;Paraná;1;Prensa;Argentina;-38.416.097;-63.616.672
72;Polska;1;Blanking;Polonia;51.91;19.14
73;Polska;1;Cizalla;Polonia;51.91;19.14
74;Polska;1;Corte Longitudinal;Polonia;51.91;19.14
75;Polska;1;Corte Transversal;Polonia;51.91;19.14
76;Portugal;1;Corte Longitudinal;Portugal;39.39;-8.22
77;Portugal;1;Corte Transversal;Portugal;39.39;-8.22
78;Puebla;1;Blanking;México;23.63;-102.55
79;Puebla;1;Cizalla;México;23.63;-102.55
80;Puebla;1;Corte Longitudinal;México;23.63;-102.55
81;South Carolina;1;Blanking;EEUU;37.09;-95.71
82;Tarragona;1;Cizalla;España;40.46;-3.74
83;Tarragona;1;Corte Longitudinal;España;40.46;-3.74
84;Tarragona;1;Corte Transversal;España;40.46;-3.74
85;Tarragona;1;Decapado;España;40.46;-3.74
86;Thüringen;1;Blanking;Alemania;511.656;104.515
87;Thüringen;1;Corte Láser 3D;Alemania;511.656;104.515
88;Thüringen;1;Corte Longitudinal;Alemania;511.656;104.515
89;Valencia;1;Cizalla;España;40.46;-3.74
90;Valencia;1;Corte Longitudinal;España;40.46;-3.74
