;Codigo accidentado;Turno;Gender;Planta;Tipo accidente;Tipo trabajador;Fabrica;Tecnología;Pais;Horas Presencia Efectiva Subcontratados;Horas Presencia Efectiva ETTs;Horas Formacion Seguridad Propios;Horas Formacion Seguridad ETTs;Accident;wk_position;Age;Severity;Accident_place
0;HS-CLMB_2546;Turno de mañana;Hombre;20;Accidente c/b;ETT;Burgos;Skinpass;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Material Handler;Entre 30-50;Leve;Mantenimiento
1;HS-CEPA_2563;Turno de mañana;Hombre;19;Accidente c/b;Indefinido;Burgos;Recocido;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;customer;Mayor 50;Muy grave;Mantenimiento
2;HS-GNVT_2564;Turno de tarde;Hombre;12;Accidente s/b;Duración Determinada;Barcelona;Skinpass;España;25684.5;18302.3;1150.6;151.5;Yes;Vaciado contenedores de chatarra;Entre 30-50;Muy grave;Mantenimiento
3;HS-GNVT_2565;Turno de mañana;Hombre;12;Incidente;ETT;Barcelona;Skinpass;España;25684.5;18302.3;1150.6;151.5;Yes;Pontonero;Entre 30-50;Grave;Mantenimiento
4;HS-DNGG_2566;Turno de mañana;Hombre;41;Incidente;Incidente (no aplica);Hiasa;Corte Láser;España;0.0;167848.0;1300.5;101.5;Yes;Longi 2;Entre 30-50;Grave;Mantenimiento
5;HS-SAUS_2577;Turno de mañana;Hombre;7;Incidente;Indefinido;Barcelona;Cizalla;España;25684.5;18302.3;1150.6;151.5;Yes;Operator / Stacker Operator;Mayor 50;Muy grave;Mantenimiento
6;HS-BRCL_3127;Turno de tarde;Hombre;1;Incidente;Incidente (no aplica);Argentina;Blanking;Argentina;0.0;0.0;606.5;0.0;Yes;Slitter Op;Entre 30-50;Grave;Mantenimiento
7;HS-BRCL_3220;Turno de tarde;Hombre;1;Incidente;Indefinido;Argentina;Blanking;Argentina;0.0;0.0;606.5;0.0;Yes;Gantry crane operator;Mayor 50;Muy grave;Mantenimiento
8;HS-BRCL_3221;Turno de tarde;Hombre;1;Incidente;Incidente (no aplica);Argentina;Blanking;Argentina;0.0;0.0;606.5;0.0;Yes;Verpackerin;Mayor 50;Muy grave;Mantenimiento
9;HS-NVRR_3222;Turno de mañana;Hombre;13;Incidente;Incidente (no aplica);Burgos;Blanking;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;assistant of operator;Entre 30-50;Leve;Mantenimiento
10;HS-CEPA_3223;Turno de mañana;Hombre;19;Incidente;Incidente (no aplica);Burgos;Recocido;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Gruista Subcontrata Pardo Freijo;Mayor 50;Muy grave;Mantenimiento
11;HS-CEPA_3224;Turno de mañana;Hombre;19;Incidente;Incidente (no aplica);Burgos;Recocido;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Expediciones, carga de camiones;Entre 30-50;Muy grave;Mantenimiento
12;HS-CEPA_3226;Turno de mañana;Hombre;19;Incidente;Incidente (no aplica);Burgos;Recocido;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Operario Puente Grúa;Entre 30-50;Grave;Mantenimiento
13;HS-CEPA_3227;Turno de mañana;Hombre;19;Incidente;Incidente (no aplica);Burgos;Recocido;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Maschinenführer;Mayor 50;Grave;Mantenimiento
14;HS-BRCL_3228;Turno de tarde;Hombre;1;Incidente;Incidente (no aplica);Argentina;Blanking;Argentina;0.0;0.0;606.5;0.0;Yes;Proceso decapado;Menor 30;Grave;Mantenimiento
15;HS-BRCL_3229;Turno de noche;Hombre;1;Incidente;Incidente (no aplica);Argentina;Blanking;Argentina;0.0;0.0;606.5;0.0;Yes;Maschinenführerin 2 Presse 3;Menor 30;Grave;Mantenimiento
16;HS-BRCL_3230;Turno de tarde;Hombre;1;Incidente;Incidente (no aplica);Argentina;Blanking;Argentina;0.0;0.0;606.5;0.0;Yes;MF2 Presse 1;Menor 30;Muy grave;Mantenimiento
17;HS-KLGA_3231;Turno de mañana;Hombre;28;Incidente;Indefinido;Galicia;Blanking;España;17051.0;211.0;756.3;0.4;Yes;Transportista externo(Telemix);Mayor 50;Grave;Mantenimiento
18;HS-GNVT_3234;Turno de mañana;Hombre;12;Accidente c/b;Indefinido;Barcelona;Skinpass;España;25684.5;18302.3;1150.6;151.5;Yes;Conductor Toro Hyster;Mayor 50;Muy grave;Mantenimiento
19;HS-GNVT_3235;Turno de tarde;Hombre;12;Incidente;Subcontratado;Barcelona;Skinpass;España;25684.5;18302.3;1150.6;151.5;Yes;TRANS005;Mayor 50;Leve;Mantenimiento
20;HS-BRGS_3240;Turno de mañana;Hombre;2;Incidente;Indefinido;Argentina;Corte Longitudinal;Argentina;0.0;0.0;606.5;0.0;Yes;Madera Prensas;Mayor 50;Grave;Mantenimiento
21;HS-BRGS_3241;Turno de mañana;Hombre;2;Accidente s/b;Indefinido;Argentina;Corte Longitudinal;Argentina;0.0;0.0;606.5;0.0;Yes;Ayudante perfiladora Dimeco;Mayor 50;Muy grave;Mantenimiento
22;HS-BRGS_3242;Turno de mañana;Hombre;2;Incidente;Incidente (no aplica);Argentina;Corte Longitudinal;Argentina;0.0;0.0;606.5;0.0;Yes;EPM;Entre 30-50;Leve;Mantenimiento
23;HS-BRGS_3244;Turno de mañana;Hombre;2;Incidente;Incidente (no aplica);Argentina;Corte Longitudinal;Argentina;0.0;0.0;606.5;0.0;Yes;APILADOR TRANS002;Mayor 50;Muy grave;Mantenimiento
24;HS-BRGS_3245;Turno de mañana;Hombre;2;Incidente;Incidente (no aplica);Argentina;Corte Longitudinal;Argentina;0.0;0.0;606.5;0.0;Yes;Longi 2;Menor 30;Grave;Mantenimiento
25;HS-BRGS_3246;Turno de tarde;Hombre;2;Incidente;Incidente (no aplica);Argentina;Corte Longitudinal;Argentina;0.0;0.0;606.5;0.0;Yes;Maquinista Perfiladora Tubos;Entre 30-50;Leve;Mantenimiento
26;HS-CLMB_3247;Turno de tarde;Hombre;20;Accidente s/b;Indefinido;Burgos;Skinpass;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;CARPINTERO TRANS001;Menor 30;Grave;Mantenimiento
27;HS-BRGS_3248;Turno de noche;Hombre;2;Accidente s/b;Indefinido;Argentina;Corte Longitudinal;Argentina;0.0;0.0;606.5;0.0;Yes;CHOFER;Mayor 50;Grave;Mantenimiento
28;HS-BRGS_3252;Turno de mañana;Hombre;2;Incidente;Indefinido;Argentina;Corte Longitudinal;Argentina;0.0;0.0;606.5;0.0;Yes;Lkw-Fahrer;Entre 30-50;Leve;Mantenimiento
29;HS-BRCL_3253;Turno de mañana;Hombre;1;Incidente;Incidente (no aplica);Argentina;Blanking;Argentina;0.0;0.0;606.5;0.0;Yes;Maintenance;Entre 30-50;Leve;Mantenimiento
30;HS-VLNC_3254;Turno de mañana;Hombre;5;Accidente s/b;Indefinido;Arizona;Corte Láser;EEUU;0.0;0.0;0.0;0.0;Yes;Material Handler moving stock around and loading vehicles;Entre 30-50;Leve;Mantenimiento
31;HS-GNVT_3255;Turno de mañana;Hombre;12;Incidente;ETT;Barcelona;Skinpass;España;25684.5;18302.3;1150.6;151.5;Yes;AYUDANTE PRENSA002;Mayor 50;Muy grave;Mantenimiento
32;HS-PLSK_3256;Turno de mañana;Hombre;26;Incidente;Incidente (no aplica);Campinas;Skinpass;Brasil;2835.52;2046.18;1212.5;0.0;Yes;Operario entrada linea decapado;Entre 30-50;Muy grave;Mantenimiento
33;HS-BRGS_3259;Turno de mañana;Hombre;2;Accidente s/b;Indefinido;Argentina;Corte Longitudinal;Argentina;0.0;0.0;606.5;0.0;Yes;Verificador tubos 601;Entre 30-50;Muy grave;Mantenimiento
34;HS-DNGG_3260;Turno de mañana;Hombre;41;Incidente;Incidente (no aplica);Hiasa;Corte Láser;España;0.0;167848.0;1300.5;101.5;Yes;Acumulador;Menor 30;Grave;Mantenimiento
35;HS-STUR_3278;Turno de mañana;Hombre;16;Incidente;ETT;Burgos;Corte Transversal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;Maquinista longitudinales;Entre 30-50;Muy grave;Mantenimiento
36;HS-DNGG_3279;Turno de mañana;Hombre;41;Incidente;Incidente (no aplica);Hiasa;Corte Láser;España;0.0;167848.0;1300.5;101.5;Yes;Carreteillero;Entre 30-50;Leve;Mantenimiento
37;HS-THRN_3281;Turno de noche;Hombre;25;Accidente c/b;ETT;Campinas;Prensa;Brasil;2835.52;2046.18;1212.5;0.0;Yes;Maschinenbedienerin;Entre 30-50;Grave;Mantenimiento
38;HS-HIAS_3282;Turno de noche;Hombre;15;Incidente;ETT;Burgos;Corte Longitudinal;España;25249.0;42484.0;1419.3;830.0999999999999;Yes;LINEA DE PRENSA;Mayor 50;Muy grave;Mantenimiento
39;HS-BRGS_3284;Turno de tarde;Hombre;2;Accidente s/b;Subcontratado;Argentina;Corte Longitudinal;Argentina;0.0;0.0;606.5;0.0;Yes;lider;Mayor 50;Grave;Mantenimiento
40;HS-CMPS_3285;Turno de tarde;Hombre;36;Accidente s/b;Indefinido;Dongguan;Blanking;China;0.0;0.0;1501.0;0.0;Yes;Packing team member ;Entre 30-50;Leve;Mantenimiento
41;HS-PRNA_3287;Turno de mañana;Hombre;35;Incidente;Indefinido;Gonvauto Barcelona;Corte Transversal;España;72495.20000000001;21968.3;587.0;0.0;Yes;GRUISTA - CARRETILLERO - PRENSAS;Entre 30-50;Grave;Mantenimiento
42;HS-STHC_3288;Turno de tarde;Hombre;33;Accidente s/b;Indefinido;Gonvauto Asturias;Tubos;España;0.0;29316.0;188.0;47.0;Yes;Montador LONGI003;Mayor 50;Leve;Mantenimiento
43;HS-STHC_3289;Turno de tarde;Hombre;33;Accidente s/b;Subcontratado;Gonvauto Asturias;Tubos;España;0.0;29316.0;188.0;47.0;Yes;Vaciado contenedores de chatarra;Menor 30;Leve;Mantenimiento
44;HS-STHC_3290;Turno de mañana;Hombre;33;Incidente;Incidente (no aplica);Gonvauto Asturias;Tubos;España;0.0;29316.0;188.0;47.0;Yes;Maquinista longitudinales;Mayor 50;Grave;Mantenimiento
45;HS-STHC_3291;Turno de mañana;Hombre;33;Incidente;Incidente (no aplica);Gonvauto Asturias;Tubos;España;0.0;29316.0;188.0;47.0;Yes;packer;Mayor 50;Muy grave;Mantenimiento
46;HS-SABS_3292;Turno de mañana;Hombre;53;Incidente;Incidente (no aplica);Hiasa;Prensa;España;0.0;167848.0;1300.5;101.5;Yes;Ayudante LONGI004;Entre 30-50;Muy grave;Mantenimiento
