;Horas Presencia Efectiva Subcontratados;Horas Presencia Efectiva ETTs;Horas Formacion Seguridad Propios;Horas Formacion Seguridad ETTs;Accident;wk_position;Age;Severity;Accident_place;Gender_Hombre;T_Turno de mañana;T_Turno de noche;T_Turno de tarde;Age_Entre 30-50;Age_Mayor 50;Age_Menor 30;Tipo_trab_reduced;Acc_Duración Determinada;Acc_ETT;Acc_Indefinido;Acc_Otros
0;25249.0;42485.0;1419.0;829.0;1;Gruista LONGI004 y LONGI008;Entre 30-50;Leve;Mantenimiento;1;1;0;0;1;0;0;ETT;0;1;0;0
1;25249.0;42485.0;1419.0;829.0;1;Operador Puente-Grúa;Mayor 50;Muy grave;Mantenimiento;1;1;0;0;0;1;0;Indefinido;0;0;1;0
2;25685.0;18303.0;1151.0;152.0;1;hanger;Entre 30-50;Muy grave;Mantenimiento;1;0;0;1;1;0;0;Duración Determinada;1;0;0;0
3;25685.0;18303.0;1151.0;152.0;1;Titular Circulares;Entre 30-50;Grave;Mantenimiento;1;1;0;0;1;0;0;ETT;0;1;0;0
4;0.0;0.0;0.0;0.0;1;Control Calidad;Entre 30-50;Grave;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
5;25685.0;18303.0;1151.0;152.0;1;Operador Logistico;Mayor 50;Muy grave;Mantenimiento;1;1;0;0;0;1;0;Indefinido;0;0;1;0
6;0.0;0.0;607.0;0.0;1;Embaladora 2;Entre 30-50;Grave;Mantenimiento;1;0;0;1;1;0;0;Otros;0;0;0;1
7;0.0;0.0;607.0;0.0;1;AYUDANTE PRENS001;Mayor 50;Muy grave;Mantenimiento;1;0;0;1;0;1;0;Indefinido;0;0;1;0
8;0.0;0.0;607.0;0.0;1;Gruista perfiladoras;Mayor 50;Muy grave;Mantenimiento;1;0;0;1;0;1;0;Otros;0;0;0;1
9;25249.0;42485.0;1419.0;829.0;1;packaking -road safety;Entre 30-50;Leve;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
10;25249.0;42485.0;1419.0;829.0;1;galvanizado;Mayor 50;Muy grave;Mantenimiento;1;1;0;0;0;1;0;Otros;0;0;0;1
11;25249.0;42485.0;1419.0;829.0;1;operator on packaging line;Entre 30-50;Muy grave;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
12;25249.0;42485.0;1419.0;829.0;1;GRUISTA - EMBALADOR;Entre 30-50;Grave;Mantenimiento;1;1;0;0;1;0;0;Otros;0;0;0;1
13;25249.0;42485.0;1419.0;829.0;1;Operadores limpieza de caldera y gruista de caldera;Mayor 50;Grave;Mantenimiento;1;1;0;0;0;1;0;Otros;0;0;0;1
14;0.0;0.0;607.0;0.0;1;Operador de Produção II;Menor 30;Grave;Mantenimiento;1;0;0;1;0;0;1;Otros;0;0;0;1
15;0.0;0.0;607.0;0.0;1;Titular Línea Corte Prensa II;Menor 30;Grave;Mantenimiento;1;0;1;0;0;0;1;Otros;0;0;0;1
